,radiusOfRing_Ring,radiusOfRing_section,radiusOfRing_bar,mass,restitution,lateralFriction,spinningFriction,rollingFriction,position,velocity,angularVelocity,time
151,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-3.000e-02  2.300e-01  9.848e+01],[-0.72 -0.23 -1.15],[ 2.19 -0.06 10.79],0.6291666666666667
152,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-4.000e-02  2.300e-01  9.848e+01],[-0.7  -0.26 -1.14],[ 2.38 -0.07 10.79],0.6333333333333333
153,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-4.000e-02  2.300e-01  9.847e+01],[-0.67 -0.3  -1.13],[ 2.49 -0.08 10.74],0.6375
154,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-4.000e-02  2.300e-01  9.847e+01],[-0.65 -0.3  -1.13],[ 2.54 -0.08 10.49],0.6416666666666666
155,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-4.000e-02  2.300e-01  9.846e+01],[-0.62 -0.33 -1.12],[ 2.74 -0.1  10.46],0.6458333333333334
156,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-5.000e-02  2.300e-01  9.846e+01],[-0.6  -0.37 -1.12],[ 2.9  -0.1  10.43],0.65
157,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-5.000e-02  2.300e-01  9.845e+01],[-0.57 -0.33 -1.12],[ 3.11 -0.12 10.3 ],0.6541666666666667
158,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-5.000e-02  2.300e-01  9.845e+01],[-0.55 -0.3  -1.09],[ 3.06 -0.12 10.  ],0.6583333333333333
159,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-5.000e-02  2.200e-01  9.844e+01],[-0.54 -0.28 -1.07],[ 3.33 -0.13 10.02],0.6625
160,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.000e-02  2.200e-01  9.844e+01],[-0.52 -0.23 -1.06],[ 3.62 -0.15  9.87],0.6666666666666666
161,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.000e-02  2.200e-01  9.844e+01],[-0.5  -0.22 -1.06],[ 3.91 -0.17  9.85],0.6708333333333333
162,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.000e-02  2.200e-01  9.843e+01],[-0.45 -0.22 -1.08],[ 4.24 -0.18 10.05],0.675
163,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.000e-02  2.200e-01  9.843e+01],[-0.41 -0.21 -1.1 ],[ 4.2  -0.18  9.5 ],0.6791666666666667
164,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.000e-02  2.200e-01  9.842e+01],[-0.36 -0.17 -1.13],[ 4.46 -0.2   9.22],0.6833333333333333
165,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.000e-02  2.200e-01  9.842e+01],[-0.3  -0.12 -1.18],[ 4.71 -0.21  9.04],0.6875
166,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.200e-01  9.841e+01],[-0.24 -0.08 -1.24],[ 4.94 -0.23  8.82],0.6916666666666667
167,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.200e-01  9.841e+01],[-0.18 -0.02 -1.3 ],[ 5.18 -0.24  8.41],0.6958333333333333
168,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.00e-02  2.20e-01  9.84e+01],[-0.12  0.03 -1.36],[ 5.42 -0.25  8.35],0.7
169,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.200e-01  9.839e+01],[-0.06  0.07 -1.43],[ 5.5  -0.26  8.05],0.7041666666666666
170,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.200e-01  9.839e+01],[-0.06  0.15 -1.48],[ 5.62 -0.26  7.58],0.7083333333333334
171,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.200e-01  9.838e+01],[-0.01  0.21 -1.56],[ 5.8  -0.27  7.55],0.7125
172,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.200e-01  9.838e+01],[ 0.03  0.25 -1.61],[ 5.7  -0.27  7.34],0.7166666666666667
173,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.200e-01  9.837e+01],[ 0.05  0.31 -1.68],[ 6.14 -0.29  7.21],0.7208333333333333
174,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.200e-01  9.836e+01],[ 0.06  0.36 -1.73],[ 6.   -0.28  6.69],0.725
175,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.300e-01  9.835e+01],[ 0.08  0.4  -1.78],[ 5.99 -0.28  6.57],0.7291666666666666
176,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.300e-01  9.835e+01],[ 0.05  0.47 -1.83],[ 5.93 -0.28  6.2 ],0.7333333333333333
177,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.300e-01  9.834e+01],[ 0.    0.55 -1.88],[ 5.88 -0.27  5.85],0.7375
178,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.300e-01  9.833e+01],[-0.06  0.6  -1.97],[ 6.01 -0.28  5.5 ],0.7416666666666667
179,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.400e-01  9.832e+01],[-0.15  0.68 -2.03],[ 5.94 -0.27  5.  ],0.7458333333333333
180,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.400e-01  9.831e+01],[-0.22  0.76 -2.08],[ 5.9  -0.27  4.89],0.75
181,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.00e-02  2.40e-01  9.83e+01],[-0.29  0.82 -2.13],[ 5.84 -0.27  4.82],0.7541666666666667
182,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.500e-01  9.829e+01],[-0.38  0.9  -2.17],[ 5.64 -0.26  4.51],0.7583333333333333
183,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.500e-01  9.829e+01],[-0.46  0.96 -2.21],[ 5.59 -0.25  4.53],0.7625
184,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02  2.500e-01  9.828e+01],[-0.54  1.01 -2.26],[ 5.52 -0.24  4.56],0.7666666666666666
185,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-8.000e-02  2.600e-01  9.827e+01],[-0.64  1.07 -2.29],[ 5.3  -0.23  4.44],0.7708333333333334
186,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-8.000e-02  2.600e-01  9.826e+01],[-0.78  1.13 -2.33],[ 4.99 -0.22  4.06],0.775
187,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-8.000e-02  2.700e-01  9.825e+01],[-0.92  1.21 -2.37],[ 4.7  -0.2   4.01],0.7791666666666667
188,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-9.000e-02  2.700e-01  9.824e+01],[-1.06  1.28 -2.41],[ 4.38 -0.18  3.99],0.7833333333333333
189,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-9.000e-02  2.800e-01  9.823e+01],[-1.21  1.35 -2.45],[ 4.12 -0.17  4.06],0.7875
190,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.1   0.29 98.22],[-1.38  1.4  -2.5 ],[ 3.87 -0.16  3.95],0.7916666666666666
191,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.11  0.29 98.21],[-1.56  1.39 -2.59],[ 3.65 -0.15  3.96],0.7958333333333333
192,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.11  0.3  98.19],[-1.73  1.37 -2.66],[ 3.49 -0.14  3.93],0.8
193,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.12  0.3  98.18],[-1.91  1.35 -2.73],[ 3.35 -0.13  3.81],0.8041666666666667
194,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.13  0.31 98.17],[-2.08  1.32 -2.79],[ 3.21 -0.12  3.89],0.8083333333333333
195,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.14  0.31 98.16],[-2.24  1.25 -2.85],[ 3.03 -0.11  3.97],0.8125
196,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.15  0.32 98.15],[-2.4   1.18 -2.91],[ 2.86 -0.1   3.85],0.8166666666666667
197,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.16  0.32 98.14],[-2.57  1.09 -2.96],[ 2.64 -0.09  3.63],0.8208333333333333
198,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.17  0.33 98.12],[-2.75  1.   -3.  ],[ 2.41 -0.08  3.55],0.825
199,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.18  0.33 98.11],[-2.94  0.89 -3.04],[ 2.16 -0.06  3.48],0.8291666666666666
200,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.2   0.33 98.1 ],[-3.14  0.77 -3.09],[ 1.92 -0.05  3.49],0.8333333333333334
201,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.21  0.34 98.08],[-3.33  0.65 -3.14],[ 1.66 -0.04  3.51],0.8375
202,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.23  0.34 98.07],[-3.51  0.49 -3.2 ],[ 1.4  -0.03  3.48],0.8416666666666667
203,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.24  0.34 98.06],[-3.69  0.33 -3.26],[ 1.16 -0.02  3.53],0.8458333333333333
204,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.26  0.34 98.04],[-3.85  0.15 -3.33],[ 0.93 -0.01  3.58],0.85
205,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.27  0.34 98.03],[-4.   -0.04 -3.4 ],[0.67 0.01 3.63],0.8541666666666666
206,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.29  0.34 98.01],[-4.14 -0.26 -3.48],[0.42 0.02 3.6 ],0.8583333333333333
207,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.31  0.34 98.  ],[-4.26 -0.5  -3.55],[0.11 0.03 3.61],0.8624999999999999
208,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.33  0.33 97.98],[-4.36 -0.77 -3.62],[-0.18  0.04  3.66],0.8666666666666667
209,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.34  0.33 97.97],[-4.45 -1.06 -3.7 ],[-0.45  0.05  3.46],0.8708333333333333
210,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.36  0.32 97.95],[-4.54 -1.36 -3.78],[-0.87  0.06  3.43],0.875
211,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.38  0.32 97.94],[-4.62 -1.66 -3.86],[-1.33  0.08  3.52],0.8791666666666667
212,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.4   0.31 97.92],[-4.67 -1.96 -3.94],[-1.79  0.09  3.66],0.8833333333333333
213,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.42  0.3  97.9 ],[-4.7  -2.29 -4.01],[-2.17  0.1   3.83],0.8875
214,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.44  0.29 97.89],[-4.7  -2.61 -4.08],[-2.51  0.11  4.  ],0.8916666666666666
215,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.46  0.28 97.87],[-4.68 -2.94 -4.15],[-2.84  0.12  4.23],0.8958333333333334
216,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.48  0.26 97.85],[-4.61 -3.29 -4.22],[-3.14  0.12  4.39],0.9
217,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.5   0.25 97.83],[-4.53 -3.63 -4.28],[-3.44  0.13  4.58],0.9041666666666667
218,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.52  0.23 97.82],[-4.42 -3.98 -4.35],[-3.78  0.13  4.75],0.9083333333333333
219,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.54  0.21 97.8 ],[-4.25 -4.31 -4.4 ],[-3.94  0.14  5.06],0.9125
220,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.55  0.19 97.78],[-4.04 -4.65 -4.43],[-4.36  0.14  5.19],0.9166666666666666
221,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.57  0.17 97.76],[-3.85 -4.97 -4.46],[-4.63  0.14  5.33],0.9208333333333333
222,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.58  0.15 97.74],[-3.64 -5.29 -4.5 ],[-4.9   0.14  5.69],0.9249999999999999
223,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.6   0.13 97.72],[-3.41 -5.59 -4.54],[-5.07  0.14  6.04],0.9291666666666667
224,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.61  0.1  97.7 ],[-3.15 -5.89 -4.58],[-5.22  0.14  6.36],0.9333333333333333
225,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.200e-01  8.000e-02  9.769e+01],[-2.84 -6.18 -4.64],[-5.39  0.14  6.71],0.9375
226,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.300e-01  5.000e-02  9.767e+01],[-2.5  -6.46 -4.69],[-5.64  0.14  6.95],0.9416666666666667
227,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.400e-01  2.000e-02  9.765e+01],[-2.15 -6.71 -4.74],[-5.84  0.14  7.21],0.9458333333333333
228,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.500e-01 -1.000e-02  9.763e+01],[-1.77 -6.94 -4.8 ],[-6.11  0.13  7.59],0.95
229,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.600e-01 -4.000e-02  9.761e+01],[-1.38 -7.15 -4.85],[-6.38  0.13  7.9 ],0.9541666666666666
230,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-6.600e-01 -7.000e-02  9.759e+01],[-0.98 -7.34 -4.92],[-6.67  0.13  8.43],0.9583333333333334
231,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.66 -0.1  97.56],[-0.54 -7.5  -4.99],[-6.86  0.12  9.09],0.9625
232,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.66 -0.13 97.54],[-0.08 -7.64 -5.05],[-7.05  0.11  9.77],0.9666666666666667
233,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.66 -0.16 97.52],[ 0.43 -7.73 -5.11],[-7.13  0.1  10.45],0.9708333333333333
234,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.66 -0.19 97.5 ],[ 0.95 -7.78 -5.16],[-7.17  0.09 11.13],0.975
235,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.65 -0.23 97.48],[ 1.48 -7.78 -5.2 ],[-7.15  0.08 11.95],0.9791666666666666
236,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.64 -0.26 97.46],[ 2.02 -7.73 -5.23],[-7.19  0.07 12.27],0.9833333333333333
237,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.63 -0.29 97.44],[ 2.53 -7.64 -5.25],[-7.12  0.06 12.75],0.9874999999999999
238,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.62 -0.32 97.41],[ 3.03 -7.51 -5.27],[-7.1   0.05 13.18],0.9916666666666667
239,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.6  -0.35 97.39],[ 3.51 -7.35 -5.3 ],[-7.05  0.04 13.28],0.9958333333333333
240,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.59 -0.38 97.37],[ 3.97 -7.17 -5.32],[-6.89  0.03 13.92],1.0
241,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.57 -0.41 97.35],[ 4.42 -6.94 -5.34],[-6.66  0.02 14.63],1.0041666666666667
242,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.55 -0.44 97.32],[ 4.87 -6.67 -5.36],[-6.410e+00  1.000e-02  1.531e+01],1.0083333333333333
243,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.53 -0.47 97.3 ],[ 5.3  -6.36 -5.36],[-6.08 -0.   15.61],1.0125
244,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.5  -0.49 97.28],[ 5.7  -6.02 -5.35],[-5.710e+00 -1.000e-02  1.594e+01],1.0166666666666666
245,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.48 -0.51 97.26],[ 6.06 -5.64 -5.34],[-5.36 -0.02 16.39],1.0208333333333333
246,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.45 -0.54 97.24],[ 6.39 -5.24 -5.31],[-5.04 -0.03 16.34],1.025
247,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.42 -0.56 97.21],[ 6.69 -4.82 -5.29],[-4.66 -0.04 16.62],1.0291666666666666
248,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.39 -0.57 97.19],[ 6.97 -4.38 -5.26],[-4.33 -0.05 17.08],1.0333333333333332
249,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.36 -0.59 97.17],[ 7.25 -3.91 -5.26],[-4.08 -0.06 17.51],1.0375
250,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.33 -0.61 97.15],[ 7.49 -3.42 -5.24],[-3.73 -0.07 18.03],1.0416666666666667
251,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.3  -0.62 97.13],[ 7.68 -2.91 -5.22],[-3.3  -0.08 18.51],1.0458333333333334
252,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.27 -0.63 97.1 ],[ 7.83 -2.38 -5.19],[-2.78 -0.09 18.96],1.05
253,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.23 -0.63 97.08],[ 7.93 -1.83 -5.15],[-2.31 -0.09 18.64],1.0541666666666667
254,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.2  -0.64 97.06],[ 7.97 -1.27 -5.11],[-1.8  -0.1  18.86],1.0583333333333333
255,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.17 -0.64 97.04],[ 7.95 -0.71 -5.05],[-1.2  -0.11 19.01],1.0625
256,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.14 -0.64 97.02],[ 7.87 -0.17 -4.99],[-0.54 -0.12 19.18],1.0666666666666667
257,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-0.1  -0.64 97.  ],[ 7.76  0.36 -4.92],[ 0.05 -0.12 18.79],1.0708333333333333
258,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-7.000e-02 -6.400e-01  9.698e+01],[ 7.61  0.87 -4.84],[ 0.65 -0.13 19.02],1.075
259,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-4.000e-02 -6.300e-01  9.696e+01],[ 7.42  1.35 -4.77],[ 1.26 -0.13 19.03],1.0791666666666666
260,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[-1.000e-02 -6.300e-01  9.694e+01],[ 7.2   1.81 -4.7 ],[ 1.88 -0.13 19.11],1.0833333333333333
261,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 2.000e-02 -6.200e-01  9.692e+01],[ 6.95  2.25 -4.61],[ 2.42 -0.13 18.92],1.0875
262,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 5.00e-02 -6.00e-01  9.69e+01],[ 6.66  2.66 -4.53],[ 3.01 -0.13 19.07],1.0916666666666666
263,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 7.000e-02 -5.900e-01  9.688e+01],[ 6.36  3.03 -4.44],[ 3.55 -0.13 18.95],1.0958333333333332
264,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.1  -0.58 96.87],[ 6.03  3.4  -4.34],[ 3.97 -0.12 18.97],1.1
265,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.12 -0.56 96.85],[ 5.68  3.7  -4.23],[ 4.3  -0.11 18.34],1.1041666666666667
266,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.14 -0.55 96.83],[ 5.33  3.94 -4.13],[ 4.64 -0.11 17.67],1.1083333333333334
267,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.16 -0.53 96.81],[ 4.97  4.15 -4.02],[ 4.97 -0.1  16.94],1.1125
268,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.18 -0.51 96.8 ],[ 4.59  4.34 -3.9 ],[ 5.34 -0.09 16.47],1.1166666666666667
269,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.2  -0.49 96.78],[ 4.21  4.49 -3.78],[ 5.66 -0.09 16.05],1.1208333333333333
270,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.22 -0.47 96.77],[ 3.81  4.6  -3.66],[ 6.03 -0.08 15.59],1.125
271,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.23 -0.45 96.75],[ 3.43  4.65 -3.54],[ 6.39 -0.07 15.06],1.1291666666666667
272,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.24 -0.43 96.74],[ 3.03  4.67 -3.41],[ 6.74 -0.06 14.44],1.1333333333333333
273,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.25 -0.41 96.72],[ 2.66  4.68 -3.29],[ 7.05 -0.05 13.81],1.1375
274,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.26 -0.4  96.71],[ 2.3   4.65 -3.16],[ 7.33 -0.04 13.19],1.1416666666666666
275,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.27 -0.38 96.7 ],[ 1.94  4.61 -3.02],[ 7.58 -0.04 12.62],1.1458333333333333
276,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.28 -0.36 96.69],[ 1.61  4.53 -2.89],[ 7.73 -0.03 12.01],1.15
277,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.28 -0.34 96.67],[ 1.29  4.43 -2.77],[ 7.8  -0.02 11.5 ],1.1541666666666666
278,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.29 -0.32 96.66],[ 1.    4.3  -2.67],[ 7.770e+00 -1.000e-02  1.093e+01],1.1583333333333332
279,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.29 -0.3  96.65],[ 0.72  4.17 -2.58],[ 7.69 -0.   10.44],1.1625
280,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.29 -0.29 96.64],[ 0.42  4.03 -2.47],[ 7.68  0.   10.01],1.1666666666666667
281,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.29 -0.27 96.63],[ 0.15  3.89 -2.37],[7.68 0.01 9.95],1.1708333333333334
282,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.29 -0.26 96.62],[-0.08  3.7  -2.28],[7.49 0.01 9.29],1.175
283,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.29 -0.24 96.61],[-0.25  3.54 -2.22],[7.2  0.02 8.63],1.1791666666666667
284,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.29 -0.23 96.6 ],[-0.42  3.38 -2.16],[6.96 0.02 8.27],1.1833333333333333
285,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.29 -0.21 96.6 ],[-0.57  3.22 -2.1 ],[6.67 0.02 7.81],1.1875
286,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.29 -0.2  96.59],[-0.72  3.06 -2.03],[6.47 0.02 7.53],1.1916666666666667
287,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.28 -0.19 96.58],[-0.88  2.9  -1.93],[6.24 0.02 6.92],1.1958333333333333
288,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.28 -0.18 96.57],[-0.99  2.73 -1.87],[5.9  0.02 6.61],1.2
289,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.27 -0.17 96.56],[-1.1   2.56 -1.81],[5.7  0.03 6.52],1.2041666666666666
290,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.27 -0.16 96.56],[-1.19  2.4  -1.72],[5.4  0.02 6.08],1.2083333333333333
291,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.26 -0.15 96.55],[-1.25  2.14 -1.61],[5.49 0.03 6.64],1.2125
292,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.26 -0.14 96.54],[-1.28  1.89 -1.48],[5.09 0.02 6.15],1.2166666666666666
293,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.25 -0.13 96.54],[-1.29  1.65 -1.38],[4.62 0.02 5.91],1.2208333333333332
294,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.25 -0.13 96.53],[-1.23  1.39 -1.28],[3.94 0.01 5.48],1.225
295,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.24 -0.12 96.53],[-1.16  1.18 -1.19],[ 3.41 -0.    5.13],1.2291666666666667
296,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.24 -0.12 96.52],[-1.12  1.02 -1.11],[ 3.1 -0.   5. ],1.2333333333333334
297,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.23 -0.11 96.52],[-1.05  0.88 -1.02],[ 2.6  -0.01  4.68],1.2375
298,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.23 -0.11 96.52],[-0.99  0.75 -0.93],[ 2.09 -0.02  4.46],1.2416666666666667
299,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.23 -0.11 96.51],[-0.93  0.65 -0.87],[ 1.52 -0.03  4.22],1.2458333333333333
300,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.22 -0.11 96.51],[-0.9   0.55 -0.78],[ 1.2  -0.04  4.18],1.25
301,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.22 -0.1  96.51],[-0.83  0.45 -0.71],[ 0.56 -0.05  4.05],1.2541666666666667
302,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.22 -0.1  96.5 ],[-0.76  0.37 -0.66],[ 0.01 -0.06  3.95],1.2583333333333333
303,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.21 -0.1  96.5 ],[-0.63  0.29 -0.58],[-0.46 -0.07  3.86],1.2625
304,0.4,0.03,0.2,1,0.86,0.5,0.0005,0.002,[ 0.21 -0.1  96.5 ],[-0.49  0.22 -0.51],[-0.81 -0.08  4.03],1.2666666666666666
